Food Name,Energy,Carbohydrate,Protein,Fat
1 Small Plate Cantaloupe (100g),34,8.2,0.8,0.2
1 Tangerine ,44,9.9,0.6,0.2
Soy Milk No Sugar (100g),108,12,6.6,3.6
1 Apple,52,13.8,0.2,0.3
1 Dragon fruit,66,12.4,1.4,0
Papaya 6-8 pieces,43,11,0.5,0.3
Little Sweet Tao Teung,130,31.5,4.5,0.5
Half Raw Mango (100g),76,18.1,0.5,0.2
2 Rose Apples,27,6.2,0.6,0
5-6 Grapes,67,17.2,0.6,0.4
1 Banana,148,35.4,1.1,0.2
