Food Name,Energy,Carbohydrate,Protein,Fat
Soy Milk,108,12,6.6,3.6
Pineapple 6 pieces,51,13.5,0.5,0.1
Pandan Jelly,100,20,0,2
2 Rose Apples,27,6.2,0.6,0
4 Rambutans,67,15.6,0.9,0.1
Papaya 8 pieces,43,11,0.5,0.3
Grapefruit 3 pieces,37,9.1,0.9,0.1
6 Southern Langsats,48,12,0,0
Grass jelly,35,8.8,0,0
Half of Apple,26,6.9,0.1,0.15
2 Jujubes,89,18.7,1.7,0.8
Egg Whites Cookies,110,12,1,6
